Abbrev,corrected,Genus,Spec,Family,Order,Class,Phylum,Name,hymenia,Morphology,Lifestyle,originalTrait,Clade,dataset,X0,Number_of_copy
Mk,ballistospory,Mycena,kentingensis,Mycenaceae,Agaricales,Agaricomycetes,Basidiomycota,Mycena kentingensis,lamellate,pileostipitate,litter decomposer,ballistospory,0,PL109,18,9
Mycgal1,ballistospory,Mycena,galopus,Mycenaceae,Agaricales,Agaricomycetes,Basidiomycota,Mycena galopus ATCC-62051 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,17,12
Phocon1,ballistospory,Pholiota,conissans,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota,Pholiota conissans CIRM-BRFM 674 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,44,6
Pleery1,ballistospory,Pleurotus,eryngii,Pleurotaceae,Agaricales,Agaricomycetes,Basidiomycota,Pleurotus eryngii ATCC 90797 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,28,5
Psicub1_1,ballistospory,Psilocybe,cubensis,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota,Psilocybe cubensis v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,45,7
Psiser1,ballistospory,Psilocybe,serbica,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota,Psilocybe serbica v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,46,4
Ptegra1,ballistospory,Pterula,gracilis,Pterulaceae,Agaricales,Agaricomycetes,Basidiomycota,Pterula gracilis CBS309.79 v1.0,smooth,Coralloid_Clavarioid,litter decomposer,ballistospory,0,JGI202304,159,6
Rhobut1_1,ballistospory,Rhodocollybia,butyracea,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota,Rhodocollybia butyracea AH 40177 v1.0,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,23,8
TerJ132_1,ballistospory,Termitomyces,sp.,Lyophyllaceae,Agaricales,Agaricomycetes,Basidiomycota,Termitomyces sp. J132,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,14,3
Volvo1,ballistospory,Volvariella,volvacea,Pluteaceae,Agaricales,Agaricomycetes,Basidiomycota,Volvariella volvacea V23,lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,34,5
Amamu1,ballistospory,Amanita,muscaria,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Amanita muscaria Koide v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,PL109,6,8
Corgl3,ballistospory,Phlegmacium,glaucopus,Cortinariaceae,Agaricales,Agaricomycetes,Basidiomycota,Phlegmacium glaucopus AT 2004 276 v2.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,8,6
Hebcy2,ballistospory,Hebeloma,cylindrosporum,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota,Hebeloma cylindrosporum h7 v2.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,11,18
Lacam2,ballistospory,Laccaria,amethystina,Tricholomataceae,Agaricales,Agaricomycetes,Basidiomycota,Laccaria amethystina LaAM-08-1 v2.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,47,21
Lacbi2,ballistospory,Laccaria,bicolor,Tricholomataceae,Agaricales,Agaricomycetes,Basidiomycota,Laccaria bicolor v2.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,48,16
Lycper1,sec-non-ball,Lycoperdon,perlatum,Lycoperdaceae,Agaricales,Agaricomycetes,Basidiomycota,Lycoperdon perlatum FP-102459-T v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,2,JGI202304,170,8
MroMCA2997_1,ballistospory,Moniliophthora,roreri,Marasmiaceae,Agaricales,Agaricomycetes,Basidiomycota,Moniliophthora roreri MCA 2997,lamellate,woFrb,pathogen,ballistospory,0,JGI202304,16,5
Crafun1,ballistospory,Crassisporium,funariophilum,Crassisporiaceae,Agaricales,Agaricomycetes,Basidiomycota,Crassisporium funariophilum CBS 144457 v1.0,lamellate,pileostipitate,pyrophilous,ballistospory,0,JGI202304,9,7
Denbi1,ballistospory,Dendrothele,bispora,Lachnellaceae,Agaricales,Agaricomycetes,Basidiomycota,Dendrothele bispora CBS 962.96 v1.0,smooth,Resupinate,uncertain,ballistospory,0,PL109,77,4
Schco3,ballistospory,Schizophyllum,commune,Schizophyllaceae,Agaricales,Agaricomycetes,Basidiomycota,Schizophyllum commune H4-8 v3.0,lamellate,Cyphelloid,uncertain,ballistospory,0,JGI202304,169,12
Auramp1,ballistospory,Auriculariopsis,ampla,Schizophyllaceae,Agaricales,Agaricomycetes,Basidiomycota,Auriculariopsis ampla NL-1724 v1.0,smooth,Cyphelloid,white rot,ballistospory,0,JGI202304,168,8
Crevar1,ballistospory,Crepidotus,variabilis,Crepidotaceae,Agaricales,Agaricomycetes,Basidiomycota,Crepidotus variabilis CBS 506.95 v1.0,lamellate,Cyphelloid,white rot,ballistospory,0,JGI202304,125,8
Cyastr2,sec-non-ball,Cyathus,striatus,Nidulariaceae,Agaricales,Agaricomycetes,Basidiomycota,Cyathus striatus AH 40144 v1.0,peridiolum,Gasteroid,white rot,sec-non-ball,1,JGI202304,172,38
Cylto1,ballistospory,Cylindrobasidium,torrendii,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Cylindrobasidium torrendii FP15055 v1.0,smooth,Resupinate,white rot,ballistospory,0,JGI202304,78,19
Galma1,ballistospory,Galerina,marginata,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota,Galerina marginata v1.0,lamellate,pileostipitate,white rot,ballistospory,0,JGI202304,42,6
Guyne1,sec-non-ball,Guyanagaster,necrorhiza,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Guyanagaster necrorhiza MCA 3950 v1.0,gleba,Gasteroid,white rot,sec-non-ball,4,JGI202304,186,7
Gymjun1,ballistospory,Gymnopilus,junonius,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota,Gymnopilus junonius AH 44721 v1.0,lamellate,pileostipitate,white rot,ballistospory,0,JGI202304,10,5
Hypsu1,ballistospory,Hypholoma,sublateritium,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota,Hypholoma sublateritium v1.0,lamellate,pileostipitate,white rot,ballistospory,0,JGI202304,43,4
Lentinedodes1,ballistospory,Lentinula,edodes,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota,Lentinula edodes W1-26 v1.0,lamellate,pileostipitate,white rot,ballistospory,0,JGI202304,21,6
Ompol1,ballistospory,Omphalotus,olearius,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota,Omphalotus olearius,lamellate,pileostipitate,white rot,ballistospory,0,JGI202304,22,4
Oudmuc1,ballistospory,Oudemansiella,mucida,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Oudemansiella mucida CBS 558.79 v1.0,lamellate,pileostipitate,white rot,ballistospory,0,JGI202304,27,21
Plecor,ballistospory,Pleurotus,cornucopiae,Pleurotaceae,Agaricales,Agaricomycetes,Basidiomycota,Pleurotus cornucopiae,lamellate,pileostipitate,white rot,ballistospory,0,new,32,7
PleosPC15_2,ballistospory,Pleurotus,ostreatus,Pleurotaceae,Agaricales,Agaricomycetes,Basidiomycota,Pleurotus ostreatus PC15 v2.0,lamellate,pileostipitate,white rot,ballistospory,0,PL109,30,8
PleosPC920,ballistospory,Pleurotus,ostreatus,Pleurotaceae,Agaricales,Agaricomycetes,Basidiomycota,Pleurotus ostreatus PC9 v1.0,lamellate,pileostipitate,white rot,ballistospory,0,new,29,10
Plepul,ballistospory,Pleurotus,pulmonarius,Pleurotaceae,Agaricales,Agaricomycetes,Basidiomycota,Pleurotus pulmonarius,lamellate,pileostipitate,white rot,ballistospory,0,new,31,8
Plucer1,ballistospory,Pluteus,cervinus,Pluteaceae,Agaricales,Agaricomycetes,Basidiomycota,Pluteus cervinus NL-1719 v1.0,lamellate,pileostipitate,white rot,ballistospory,0,JGI202304,33,13
Armcep1,ballistospory,Armillaria,cepistipes,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Armillaria cepistipes B5,lamellate,pileostipitate,white rot  root pathogen,ballistospory,0,JGI202304,24,12
Armfum1,ballistospory,Armillaria,fumosa,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Armillaria fumosa CBS 122221 v1.0,lamellate,pileostipitate,white rot  root pathogen,ballistospory,0,JGI202304,25,12
Armga1,ballistospory,Armillaria,gallica,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota,Armillaria gallica 21-2 v1.0,lamellate,pileostipitate,white rot  root pathogen,ballistospory,0,JGI202304,26,13
Plicr1,ballistospory,Plicaturopsis,crispa,Amylocorticiaceae,Amylocorticiales,Agaricomycetes,Basidiomycota,Plicaturopsis crispa v1.0,lamellate,bracket,white rot,ballistospory,0,JGI202304,127,5
Pilcr1,ballistospory,Piloderma,croceum,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota,Piloderma croceum F 1598 v1.0,smooth,Resupinate,Mycorrhizal,ballistospory,0,PL109,79,5
Fibsp1,ballistospory,Fibulorhizoctonia,psychrophila,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota,Fibulorhizoctonia psychrophila CBS 109695 v1.0,smooth,Resupinate,white rot,ballistospory,0,JGI202304,173,9
Olipa1,ballistospory,Oliveonia,pauxilla,NA,Auriculariales,Agaricomycetes,Basidiomycota,Oliveonia pauxilla MPI-PUGE-AT-0066 v1.0,smooth,Resupinate,uncertain,ballistospory,0,JGI202304,80,5
Aurde3_1,ballistospory,Auricularia,subglabra,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota,Auricularia subglabra v2.0,smooth,Tremella like,white rot,ballistospory,0,PL109,99,3
Exigl1,ballistospory,Exidia,glandulosa,Exidiaceae,Auriculariales,Agaricomycetes,Basidiomycota,Exidia glandulosa v1.0,smooth,Tremella like,white rot,ballistospory,0,PL109,100,8
Conol1,ballistospory,Coniophora,olivacea,Coniophoraceae,Boletales,Agaricomycetes,Basidiomycota,Coniophora olivacea MUCL 20566 v1.0,smooth,Resupinate,brown rot,ballistospory,0,JGI202304,81,6
Conpu1,ballistospory,Coniophora,puteana,Coniophoraceae,Boletales,Agaricomycetes,Basidiomycota,Coniophora puteana v1.0,smooth,Resupinate,brown rot,ballistospory,0,PL109,82,5
Bolret1,ballistospory,Boletus,reticuloceps,Boletaceae,Boletales,Agaricomycetes,Basidiomycota,Boletus reticuloceps BR01,poroid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,49,13
Gyrli1,ballistospory,Gyrodon,lividus,Gyrodontaceae,Boletales,Agaricomycetes,Basidiomycota,Gyrodon lividus BX v1.0,poroid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,51,7
Melbro1,sec-non-ball,Melanogaster,broomeianus,Melanogastraceae,Boletales,Agaricomycetes,Basidiomycota,Melanogaster broomeianus MBLB.BST v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,5,JGI202304,187,33
Paxam1,ballistospory,Paxillus,ammoniavirescens,Paxillaceae,Boletales,Agaricomycetes,Basidiomycota,Paxillus ammoniavirescens Pou09.2 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,53,14
Paxin1,ballistospory,Paxillus,involutus,Paxillaceae,Boletales,Agaricomycetes,Basidiomycota,Paxillus involutus ATCC 200175 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,54,21
Paxru2,ballistospory,Paxillus,adelphus,Paxillaceae,Boletales,Agaricomycetes,Basidiomycota,Paxillus adelphus Ve08.2h10 v2.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,52,8
Pismar1,sec-non-ball,Pisolithus,marmoratus,Pisolithaceae,Boletales,Agaricomycetes,Basidiomycota,Pisolithus marmoratus ssp. 2 16A v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,6,JGI202304,175,54
Pismi1,sec-non-ball,Pisolithus,microcarpus,Pisolithaceae,Boletales,Agaricomycetes,Basidiomycota,Pisolithus microcarpus 441 v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,6,PL109,176,15
Pisthe227_1,sec-non-ball,Pisolithus,croceorrhizus,Pisolithaceae,Boletales,Agaricomycetes,Basidiomycota,Pisolithus croceorrhizus ssp. 2 72 v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,6,JGI202304,174,26
Pisti2,sec-non-ball,Pisolithus,tinctorius,Pisolithaceae,Boletales,Agaricomycetes,Basidiomycota,Pisolithus tinctorius Marx 270 v2.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,6,JGI202304,177,24
Rhives1,sec-non-ball,Rhizopogon,vesiculosus,Rhizopogonaceae,Boletales,Agaricomycetes,Basidiomycota,Rhizopogon vesiculosus Smith,gleba,Gasteroid,Mycorrhizal,sec-non-ball,7,JGI202304,178,8
Rhivi1,sec-non-ball,Rhizopogon,vinicolor,Rhizopogonaceae,Boletales,Agaricomycetes,Basidiomycota,Rhizopogon vinicolor AM-OR11-026 v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,7,JGI202304,179,14
Sclci1,sec-non-ball,Scleroderma,citrinum,Sclerodermataceae,Boletales,Agaricomycetes,Basidiomycota,Scleroderma citrinum Foug A v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,6,JGI202304,180,19
Suiame1,ballistospory,Suillus,americanus,Suillaceae,Boletales,Agaricomycetes,Basidiomycota,Suillus americanus EM31 v1.0,poroid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,55,6
Suicot1,ballistospory,Suillus,cothurnatus,Suillaceae,Boletales,Agaricomycetes,Basidiomycota,Suillus cothurnatus VC 1858 v1.0,poroid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,56,4
Suihi1,ballistospory,Suillus,hirtellus,Suillaceae,Boletales,Agaricomycetes,Basidiomycota,Suillus hirtellus EM16 v1.0,poroid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,57,11
Suilu4,ballistospory,Suillus,luteus,Suillaceae,Boletales,Agaricomycetes,Basidiomycota,Suillus luteus UH-Slu-Lm8-n1 v3.0,poroid,pileostipitate,Mycorrhizal,ballistospory,0,PL109,58,5
Suisu1,ballistospory,Suillus,subalutaceus,Suillaceae,Boletales,Agaricomycetes,Basidiomycota,Suillus subalutaceus FC151 v1.0,poroid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,59,6
Xerba1,ballistospory,Xerocomus,badius,Boletaceae,Boletales,Agaricomycetes,Basidiomycota,Xerocomus badius 84.06 v1.0,poroid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,50,25
Cananz1,ballistospory,Cantharellus,anzutake,Cantharellaceae,Cantharellales,Agaricomycetes,Basidiomycota,Cantharellus anzutake C23 v1.0,cantherelloid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,60,10
CerAGI,ballistospory,Ceratobasidium,sp.,Ceratobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota,Ceratobasidium sp. anastomosis group I; DN8442 v1.0,smooth,Resupinate,Mycorrhizal,ballistospory,0,JGI202304,84,5
ClaPMI390,ballistospory,Sistotrema,sp.,Hydnaceae,Cantharellales,Agaricomycetes,Basidiomycota,Sistotrema sp. PMI_390 v1.0,poroid,bracket,Mycorrhizal,ballistospory,0,JGI202304,128,35
Hydru2,ballistospory,Hydnum,rufescens,Hydnaceae,Cantharellales,Agaricomycetes,Basidiomycota,Hydnum rufescens UP504 v2.0,hydnoid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,61,9
Tulca1,ballistospory,Tulasnella,calospora,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota,Tulasnella calospora AL13/4D v1.0,smooth,Resupinate,Mycorrhizal,ballistospory,0,JGI202304,85,9
Rhiso1,ballistospory,Rhizoctonia,solani,Ceratobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota,Rhizoctonia solani AG-1 IB,no,woFrb,pathogen,ballistospory,0,JGI202304,105,4
Botbo1,ballistospory,Botryobasidium,botryosum,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota,Botryobasidium botryosum v1.0,smooth,Resupinate,uncertain,ballistospory,0,JGI202304,83,16
Punst1,ballistospory,Punctularia,strigosozonata,Punctulariaceae,Corticiales,Agaricomycetes,Basidiomycota,Punctularia strigosozonata v1.0,smooth,Resupinate,white rot,ballistospory,0,JGI202304,86,1
Rhomi1,ballistospory,Cystobasidium,minutum,Cystobasidiaceae,Cystobasidiales,Cystobasidiomycetes,Basidiomycota,Cystobasidium minutum MCA 4210 v1.0,no,Yeasts,Yeasts,prim-non-ball,0,JGI202304,116,4
Calco1,ballistospory,Calocera,cornea,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota,Calocera cornea v1.0,smooth,Coralloid_Clavarioid,brown rot,prim-non-ball,0,PL109,165,9
Calvi1,ballistospory,Calocera,viscosa,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota,Calocera viscosa v1.0,smooth,Coralloid_Clavarioid,brown rot,prim-non-ball,0,JGI202304,166,7
Dacsp1,ballistospory,Dacryopinax,primogenitus,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota,Dacryopinax primogenitus DJM 731 SSP1 v1.0,smooth,Coralloid_Clavarioid,brown rot,prim-non-ball,0,JGI202304,167,4
Aspfu1,prim-non-ball,Aspergillus,fumigatus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Aspergillus fumigatus Af293 from AspGD,no,woFrb,pathogen,prim-non-ball,0,O443,102,5
Nagvi1,ballistospory,Naganishia,vishniacii,Filobasidiaceae,Filobasidiales,Tremellomycetes,Basidiomycota,Naganishia vishniacii ANT03-052 v1.1,no,Yeasts,psychrophilic,prim-non-ball,0,JGI202304,122,1
Filflo1,ballistospory,Filobasidium,floriforme,Filobasidiaceae,Filobasidiales,Tremellomycetes,Basidiomycota,Filobasidium floriforme CBS 6241 v1.0,no,Yeasts,Yeasts,prim-non-ball,0,JGI202304,121,1
Geatri1,sec-non-ball,Geastrum,triplex,Geastraceae,Geastrales,Agaricomycetes,Basidiomycota,Geastrum triplex GST.BST v1.0,gleba,Gasteroid,litter decomposer,sec-non-ball,8,JGI202304,181,7
Sphst1,sec-non-ball,Sphaerobolus,stellatus,Sphaerobolaceae,Geastrales,Agaricomycetes,Basidiomycota,Sphaerobolus stellatus v1.0,gleba,Gasteroid,litter decomposer,sec-non-ball,8,JGI202304,183,7
Sclhys1_1,sec-non-ball,Sclerogaster,hysterangioides,Sclerogastraceae,Geastrales,Agaricomycetes,Basidiomycota,Sclerogaster hysterangioides SCL2.BST v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,8,JGI202304,182,6
Tilan2,ballistospory,Tilletiaria,anomala,Tilletiariaceae,Georgefischeriales,Exobasidiomycetes,Basidiomycota,Tilletiaria anomala UBC 951 v1.0,no,woFrb,Endophytic,prim-non-ball,0,PL109,106,0
Glotr1_1,ballistospory,Gloeophyllum,trabeum,Gloeophyllaceae,Gloeophyllales,Agaricomycetes,Basidiomycota,Gloeophyllum trabeum v1.0,lamellate,bracket,brown rot,ballistospory,0,JGI202304,129,4
Helsul1,ballistospory,Heliocybe,sulcata,NA,Gloeophyllales,Agaricomycetes,Basidiomycota,Heliocybe sulcata OMC1185 v1.0,lamellate,pileostipitate,brown rot,ballistospory,0,JGI202304,63,4
Neole1,ballistospory,Neolentinus,lepideus,Gloeophyllaceae,Gloeophyllales,Agaricomycetes,Basidiomycota,Neolentinus lepideus v1.0,lamellate,pileostipitate,brown rot,ballistospory,0,JGI202304,62,4
Ramac1,ballistospory,Ramaria,rubella,Gomphaceae,Gomphales,Agaricomycetes,Basidiomycota,Ramaria rubella (R. acris) UT-36052-T v1.0,smooth,Coralloid_Clavarioid,litter decomposer,ballistospory,0,JGI202304,160,2
Gaumor1_1,sec-non-ball,Gautieria,morchelliformis,Gautieriaceae,Gomphales,Agaricomycetes,Basidiomycota,Gautieria morchelliformis GMNE.BST v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,9,JGI202304,188,1
Ricmel1,ballistospory,Rickenella,mellea,NA,Hymenochaetales,Agaricomycetes,Basidiomycota,Rickenella mellea v1.0 (SZMC22713),lamellate,pileostipitate,litter decomposer,ballistospory,0,JGI202304,64,6
Pheno1,ballistospory,Phellinus,noxius,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota,Phellinus noxius FFPRI411160,poroid,bracket,pathogen,ballistospory,0,JGI202304,131,1
Fomme1,ballistospory,Fomitiporia,mediterranea,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota,Fomitiporia mediterranea v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,130,2
Schpa1,ballistospory,Schizopora,paradoxa,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota,Schizopora paradoxa KUC8140 v1.0,poroid,Resupinate,white rot,ballistospory,0,JGI202304,87,3
Fusgr1,prim-non-ball,Fusarium,graminearum,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fusarium graminearum v1.0,no,woFrb,pathogen,prim-non-ball,0,PL109,103,4
Hyssto1,sec-non-ball,Hysterangium,stoloniferum,Hysterangiaceae,Hysterangiales,Agaricomycetes,Basidiomycota,Hysterangium stoloniferum HS.BST v1.0,gleba,Gasteroid,Mycorrhizal,sec-non-ball,8,JGI202304,189,13
Jaaar1,ballistospory,Jaapia,argillacea,Jaapiaceae,Jaapiales,Agaricomycetes,Basidiomycota,Jaapia argillacea v1.0,poroid,Resupinate,uncertain,ballistospory,0,JGI202304,88,2
Leucr1,ballistospory,Leucosporidiella,creatinivora,Leucosporidiaceae,Leucosporidiales,Microbotryomycetes,Basidiomycota,Leucosporidiella creatinivora 62-1032 v1.0,no,Yeasts,Yeasts,prim-non-ball,0,O443,118,3
Malsy1_1,ballistospory,Malassezia,sympodialis,Malasseziaceae,Malasseziales,Malasseziomycetes,Basidiomycota,Malassezia sympodialis ATCC 42132,no,Yeasts,pathogen,prim-non-ball,0,JGI202304,117,1
Mixos1,ballistospory,Mixia,osmundae,Mixiaceae,Mixiales,Mixiomycetes,Basidiomycota,Mixia osmundae IAM 14324 v1.0,no,Yeasts,pathogen,prim-non-ball,0,JGI202304,120,2
Tubae1,prim-non-ball,Tuber,aestivum,Tuberaceae,Pezizales,Pezizomycetes,Ascomycota,Tuber aestivum var. urcinatum v1.0,gleba,Gasteroid,Mycorrhizal,prim-non-ball,0,O443,185,1
Mutel1,sec-non-ball,Mutinus,elegans,Phallaceae,Phallales,Agaricomycetes,Basidiomycota,Mutinus elegans ME.BST v1.0,gleba,Gasteroid,litter decomposer,sec-non-ball,8,JGI202304,184,8
Daequ1,ballistospory,Daedalea,quercina,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota,Daedalea quercina v1.0,poroid,bracket,brown rot,ballistospory,0,JGI202304,133,8
Fibra1,ballistospory,Fibroporia,radiculosa,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota,Fibroporia radiculosa TFFH 294,poroid,Resupinate,brown rot,ballistospory,0,JGI202304,90,6
